DeviceId,Company_Name,SOC,Odometer,latitude,longitude,population,Region,Manufacturing_Date,On_Road_Since,Expiry_Date
VIM-15,Vogo,70.41138473,68.32729405,28.65624695,77.31262346,14,Delhi,4-Sep-19,6-Dec-19,21-Apr-43
VIM-16,Kerala Automotive Limited,77.62728663,14.60953189,28.98475092,77.24203199,15,Delhi,8-Jan-20,30-Jan-20,22-Oct-43
VIM-17,Napino-Bajaj,81.87364919,66.5758702,28.91319137,77.46813351,16,Delhi,23-Nov-19,30-Dec-19,17-Nov-40
VIM-18,Evy Mobility,70.69397809,15.81112093,28.69483894,77.02845581,17,Delhi,10-Aug-19,3-Dec-19,20-Jun-44
VIM-19,Napino-Bajaj,73.35503375,88.72690542,28.84946579,76.73172981,18,Delhi,4-Nov-19,22-Dec-19,28-Jan-41
VIM-20,Evy Mobility,75.15390278,51.05256929,28.86137936,77.34619165,19,Delhi,24-Dec-19,1-Dec-19,20-Nov-41
VIM-21,Vogo,74.17133293,22.6904682,28.63237644,77.14689755,20,Delhi,13-Dec-19,9-Dec-19,8-Aug-44
VIM-22,Qquick,77.73823611,96.45503357,28.9789194,77.3532854,21,Delhi,20-Oct-19,26-Jan-20,5-Feb-43
VIM-23,Vogo,70.47022211,52.13451281,28.93238712,77.17288192,22,Delhi,13-Jan-20,28-Jan-20,23-Aug-44
VIM-24,Vecmocon Technologies,69.88775844,91.99201389,29.05773387,76.77821089,23,Delhi,9-Aug-19,20-Jan-20,13-Oct-41
VIM-25,Napino-Bajaj,74.60033806,36.98190161,28.31747452,77.17121018,24,Delhi,21-Jan-20,11-Jan-20,9-Aug-42
VIM-26,Campus Share,80.43879601,9.074915369,28.83076281,77.19828659,25,Delhi,30-Dec-19,5-Jan-20,22-Nov-43
VIM-27,Campus Share,75.3513049,85.54333234,28.61348597,77.0756652,26,Delhi,16-Dec-19,18-Dec-19,9-Apr-42
VIM-28,Napino-Hero,73.11734534,54.7364078,28.69714562,77.23882908,27,Delhi,11-Jan-20,11-Jan-20,12-Jun-41
VIM-29,Evy Mobility,75.58968017,41.28239908,28.86016785,77.13259376,28,Delhi,3-Nov-19,25-Jan-20,11-Oct-43
VIM-30,Q.Te Bikes,78.34513083,32.69247535,28.53280059,76.78990013,29,Delhi,8-Oct-19,19-Jan-20,8-Jun-43
VIM-31,Qquick,78.12064428,96.6406533,28.51868041,76.77494897,30,Delhi,12-Nov-19,6-Jan-20,5-Jan-45
VIM-32,Bounce Share,76.34375064,7.401718631,28.50997143,77.33692527,31,Delhi,31-Aug-19,4-Dec-19,27-Oct-44
VIM-33,Vecmocon Technologies,79.22607205,8.80714802,28.87473155,77.46854703,32,Delhi,12-Aug-19,27-Jan-20,12-Oct-40
VIM-34,Napino-Bajaj,72.18146034,86.29765566,28.70109763,77.42939414,33,Delhi,15-Sep-19,2-Dec-19,18-Jun-43
VIM-35,Vecmocon Technologies,71.46365089,22.50900565,29.06686868,77.24492635,34,Delhi,19-Sep-19,2-Dec-19,3-Jan-45
VIM-36,Kerala Automotive Limited,78.12174277,37.20265324,28.6683516,77.33756648,35,Delhi,5-Oct-19,24-Jan-20,15-Nov-42
VIM-37,Vecmocon Technologies,72.45689933,30.45304916,28.96692968,77.15798976,36,Delhi,8-Oct-19,12-Jan-20,29-Jul-43
VIM-38,Vogo,75.93579372,7.466787428,28.65444081,76.76358412,37,Delhi,20-Dec-19,7-Dec-19,16-Dec-43
VIM-39,Qquick,76.21344112,44.08910496,28.40538675,76.98600687,38,Delhi,1-Feb-20,16-Dec-19,13-Sep-44
VIM-40,Q.Te Bikes,72.95675361,65.0459794,29.03156959,77.42636327,39,Delhi,2-Aug-19,25-Dec-19,20-Apr-41
VIM-41,Kerala Automotive Limited,71.21108728,84.20527159,28.71419666,76.76701695,40,Delhi,15-Sep-19,21-Jan-20,12-Nov-40
VIM-42,Campus Share,81.66130837,54.83913652,28.44141528,77.01384324,41,Delhi,29-Nov-19,11-Jan-20,13-Aug-41
VIM-43,Campus Share,71.99326238,26.33997996,28.94507239,77.06790097,42,Delhi,24-Nov-19,30-Jan-20,3-Nov-43
VIM-44,Vecmocon Technologies,71.41389794,8.777597381,28.92811935,77.44887091,43,Delhi,28-Aug-19,13-Dec-19,24-Sep-42
VIM-45,Napino-Hero,70.27617228,30.96986299,28.90437874,77.25699473,44,Delhi,16-Nov-19,21-Dec-19,22-Mar-43
VIM-46,Vecmocon Technologies,76.85692832,0.33763549,28.39237698,76.70435951,45,Delhi,29-Sep-19,4-Dec-19,28-Jan-45
VIM-47,Kerala Automotive Limited,79.58750453,18.95281481,28.73568681,77.38462539,46,Delhi,3-Aug-19,12-Jan-20,12-Aug-43
VIM-48,Q.Te Bikes,69.01918309,57.75094219,28.86206724,77.38718604,47,Delhi,22-Sep-19,22-Dec-19,6-Jan-44
VIM-49,Evy Mobility,77.66216773,37.10936223,28.66880997,76.93368236,48,Delhi,8-Oct-19,27-Dec-19,29-Dec-43
VIM-50,Vecmocon Technologies,72.85990261,33.37287472,28.6583945,76.99033619,49,Delhi,22-Aug-19,1-Feb-20,26-Feb-43
VIM-51,Kerala Automotive Limited,75.54380731,26.81166207,29.03443372,77.40470704,50,Delhi,16-Oct-19,2-Jan-20,30-Jan-44
VIM-52,Kerala Automotive Limited,79.66818045,57.67830263,28.9973374,77.00243045,51,Delhi,12-Aug-19,9-Dec-19,16-Aug-41
VIM-53,Napino-Hero,79.90854192,25.66955326,28.37650438,76.78005396,52,Delhi,2-Jan-20,24-Dec-19,27-Jan-44
VIM-54,Qquick,77.20592489,35.76590397,28.72260084,76.91920145,53,Delhi,15-Oct-19,13-Jan-20,19-Aug-44
VIM-55,Qquick,81.65292567,43.24626601,28.70289566,76.73427235,54,Delhi,29-Nov-19,10-Jan-20,5-Nov-40
VIM-56,Vecmocon Technologies,75.31894849,42.63601055,29.01326662,77.19794678,55,Delhi,29-Nov-19,3-Dec-19,6-Jan-43
VIM-57,Vogo,80.94044746,28.91673463,28.76069964,77.04604674,56,Delhi,26-Nov-19,9-Jan-20,23-Nov-40
VIM-58,Qquick,72.29981191,10.63426069,28.5792772,77.33664899,57,Delhi,24-Oct-19,22-Jan-20,11-Feb-44
VIM-59,Napino-Hero,69.31615743,90.95234171,29.08275394,77.34966594,58,Delhi,26-Sep-19,1-Jan-20,25-Dec-40
VIM-60,Campus Share,70.58844584,42.20519971,28.42366306,77.30300739,59,Delhi,27-Jan-20,9-Jan-20,10-Feb-41
VIM-61,Kerala Automotive Limited,78.15944495,61.44758486,28.73271024,77.12493735,60,Delhi,7-Aug-19,11-Jan-20,17-May-41
VIM-62,Evy Mobility,78.22371292,61.46228091,28.72408143,77.19486574,61,Delhi,29-Sep-19,22-Jan-20,16-May-41
VIM-63,Qquick,80.00701025,94.07222146,28.68946975,76.75393363,62,Delhi,16-Nov-19,22-Dec-19,2-Oct-41
VIM-64,Napino-Hero,78.34003271,9.680235956,28.77316576,76.9972036,63,Delhi,28-Nov-19,7-Jan-20,29-Jan-45
VIM-65,Bounce Share,70.05164954,9.749427092,28.53095432,77.14143736,64,Delhi,2-Nov-19,22-Jan-20,13-Jan-44
VIM-66,Bounce Share,69.62818385,30.81178201,28.95308375,76.70629528,65,Delhi,26-Aug-19,23-Dec-19,26-Oct-43
VIM-67,Evy Mobility,76.69005243,46.807304,28.53408717,77.21418907,66,Delhi,5-Aug-19,23-Jan-20,12-Apr-44
VIM-68,Bounce Share,81.67238485,53.49499424,28.5180274,77.06895204,67,Delhi,23-Oct-19,21-Jan-20,2-Feb-43
VIM-69,Q.Te Bikes,69.48497854,30.15766604,28.7891562,77.43048338,68,Delhi,15-Oct-19,13-Jan-20,29-Apr-43
VIM-70,Vogo,69.17595982,15.45809981,28.89353954,77.49118105,69,Delhi,11-Dec-19,14-Jan-20,5-Mar-44
VIM-71,Evy Mobility,78.62885259,23.79715422,28.87803888,76.89751526,70,Delhi,12-Dec-19,22-Jan-20,2-Jan-43
VIM-72,Napino-Bajaj,77.95395674,93.41504451,28.94077005,77.02429455,71,Delhi,6-Sep-19,16-Jan-20,16-Aug-43
VIM-73,Campus Share,69.05074198,27.01152374,28.74847858,77.18326929,72,Delhi,5-Oct-19,6-Dec-19,26-Oct-40
VIM-74,Kerala Automotive Limited,81.11731352,80.82927976,28.86833075,77.35273816,73,Delhi,29-Aug-19,28-Dec-19,21-Dec-40
VIM-75,Napino-Hero,70.99672561,82.85980945,28.59999156,77.0594018,74,Delhi,9-Aug-19,8-Dec-19,20-Aug-42
VIM-76,Campus Share,73.69382224,34.27120586,28.97382737,76.70286752,75,Delhi,19-Aug-19,20-Jan-20,28-Nov-44
VIM-77,Kerala Automotive Limited,77.16155166,48.29137485,28.65146522,76.73805981,76,Delhi,14-Nov-19,23-Jan-20,11-Jun-44
VIM-78,Bounce Share,70.0996381,95.6182567,28.60916355,77.47525731,77,Delhi,10-Jan-20,1-Dec-19,25-Mar-43
VIM-79,Napino-Hero,76.69453868,95.05324174,28.55563306,77.07929357,78,Delhi,19-Dec-19,6-Jan-20,29-Oct-42
VIM-80,Bounce Share,78.22242997,56.45066205,28.85149629,77.34835148,79,Delhi,2-Sep-19,1-Dec-19,21-Feb-43
VIM-81,Vogo,71.20467837,43.40790231,28.95752431,76.77983443,80,Delhi,29-Dec-19,20-Jan-20,9-Dec-42
VIM-82,Napino-Hero,73.99329534,85.77976688,28.56953511,76.81565995,81,Delhi,22-Dec-19,28-Jan-20,12-Aug-44
VIM-83,Bounce Share,77.51023343,60.84795038,29.0791388,77.42091645,82,Delhi,8-Jan-20,15-Dec-19,4-Aug-41
VIM-84,Vogo,80.18895452,80.54301299,28.34294933,76.70954259,83,Delhi,22-Oct-19,6-Jan-20,16-Jun-43
VIM-85,Q.Te Bikes,78.6142294,92.76664132,28.78151242,77.24655064,84,Delhi,11-Aug-19,18-Jan-20,20-Aug-40
VIM-86,Q.Te Bikes,70.5299972,45.26570871,29.08239081,77.34118936,85,Delhi,1-Jan-20,20-Dec-19,1-May-41
VIM-87,Kerala Automotive Limited,69.28394196,87.65275552,28.9500747,77.00688922,86,Delhi,19-Dec-19,28-Dec-19,9-Dec-44
VIM-88,Napino-Hero,78.34113645,5.843468265,28.88806521,76.88111224,87,Delhi,6-Sep-19,11-Jan-20,25-Apr-41
VIM-89,Kerala Automotive Limited,69.86796761,15.27930066,28.81526094,76.89958902,88,Delhi,9-Jan-20,1-Feb-20,3-Feb-42
VIM-90,Campus Share,69.07106812,90.15261635,28.83495988,77.05807113,89,Delhi,4-Dec-19,16-Jan-20,22-Jan-45
VIM-91,Napino-Hero,75.55320404,72.7165254,28.82470584,76.99116631,90,Delhi,28-Aug-19,30-Jan-20,27-Apr-43
VIM-92,Vecmocon Technologies,77.859641,22.08955711,29.08219003,77.15839533,91,Delhi,10-Dec-19,14-Dec-19,2-Oct-44
VIM-93,Q.Te Bikes,77.3452882,63.10318909,28.9890345,77.06054454,92,Delhi,3-Jan-20,27-Dec-19,9-Jan-41
VIM-94,Q.Te Bikes,76.10904126,76.68624951,28.92019984,76.82935544,93,Delhi,24-Sep-19,21-Jan-20,1-Mar-43
VIM-95,Kerala Automotive Limited,73.61705974,94.45316752,28.98886525,77.40529443,94,Delhi,7-Sep-19,14-Dec-19,4-Jan-45
VIM-96,Napino-Bajaj,70.1483335,47.1852979,29.03896334,77.1102218,95,Delhi,16-Sep-19,21-Dec-19,1-Sep-42
VIM-97,Napino-Hero,70.4082048,37.02409834,28.8191542,77.26977169,96,Delhi,2-Aug-19,7-Jan-20,10-Jul-43
VIM-98,Evy Mobility,74.61081798,39.16724554,28.76960695,76.82720999,97,Delhi,13-Aug-19,10-Jan-20,6-Mar-44
VIM-99,Napino-Bajaj,70.00875434,85.75872158,29.07573401,76.84418286,98,Delhi,5-Nov-19,11-Dec-19,5-Feb-41
VIM-100,Vecmocon Technologies,79.88104039,92.4714616,28.46134078,77.38029552,99,Delhi,27-Nov-19,30-Dec-19,23-May-41
VIM-101,Napino-Hero,78.47987633,88.75955823,28.40246696,77.3001942,100,Delhi,5-Jan-20,24-Jan-20,28-Oct-44
VIM-102,Evy Mobility,76.92725733,12.79720125,29.04238974,77.49091427,101,Delhi,14-Jan-20,28-Jan-20,16-Oct-40
VIM-103,Napino-Bajaj,80.62215938,79.01156394,28.57740414,76.83730482,102,Delhi,26-Sep-19,29-Dec-19,19-May-43
VIM-104,Kerala Automotive Limited,69.73932996,24.52298836,29.03192703,76.93137728,103,Delhi,1-Jan-20,9-Jan-20,17-Dec-42
VIM-105,Qquick,71.72070757,13.66667118,28.9604362,77.34815659,104,Delhi,3-Sep-19,5-Jan-20,13-Jan-44
VIM-106,Qquick,71.17284231,26.11649041,28.82823944,76.96378659,105,Delhi,7-Jan-20,4-Dec-19,25-Feb-43
VIM-107,Q.Te Bikes,80.51166333,92.81941655,29.09112793,77.29748867,106,Delhi,17-Aug-19,31-Jan-20,5-May-44
VIM-108,Bounce Share,76.7222185,34.27448333,28.95311402,76.97307538,107,Delhi,18-Jan-20,2-Jan-20,28-Aug-41
VIM-109,Napino-Bajaj,76.44781421,71.76800242,28.5284142,76.93999881,108,Delhi,13-Sep-19,20-Jan-20,16-Jan-45
VIM-110,Napino-Hero,78.6117127,13.3103223,28.85385143,76.82825712,109,Delhi,17-Sep-19,27-Jan-20,26-May-41
VIM-111,Campus Share,72.31240867,91.45917422,28.44412639,77.03813668,110,Delhi,28-Jan-20,16-Dec-19,28-Jul-44
VIM-112,Napino-Bajaj,81.51842812,22.38086882,28.40294283,77.21857314,111,Delhi,21-Nov-19,7-Jan-20,2-May-43
VIM-113,Evy Mobility,71.26410135,18.45591104,28.78671731,76.76686873,112,Delhi,25-Aug-19,10-Dec-19,20-Feb-44
VIM-114,Napino-Bajaj,69.13141151,56.87578602,28.47502441,77.30088892,113,Delhi,30-Aug-19,14-Jan-20,18-Jul-41
VIM-115,Vogo,70.11375826,35.47346317,28.72928925,77.35455611,114,Delhi,20-Sep-19,19-Dec-19,31-May-41
VIM-116,Bounce Share,80.21597813,9.476200116,28.78879963,76.99039142,115,Delhi,18-Dec-19,3-Dec-19,3-May-42
VIM-117,Kerala Automotive Limited,80.85631841,7.210758068,28.89726532,76.82487238,116,Delhi,22-Jan-20,7-Jan-20,26-Dec-44
VIM-118,Qquick,77.61681916,85.44376189,28.75934938,77.22337434,117,Delhi,31-Dec-19,11-Dec-19,25-Nov-43
VIM-119,Qquick,74.50468138,66.87115642,28.99936882,77.4635312,118,Delhi,6-Nov-19,6-Jan-20,13-Dec-42
VIM-120,Napino-Hero,81.51927898,22.83223761,28.4268793,76.85843718,119,Delhi,5-Nov-19,11-Dec-19,3-Apr-43
VIM-121,Qquick,77.05544714,91.4412108,28.33154755,77.24472825,120,Delhi,22-Oct-19,6-Jan-20,31-May-42
VIM-122,Q.Te Bikes,73.39524569,91.52875954,28.85895046,77.18573869,121,Delhi,15-Sep-19,23-Jan-20,15-Jun-44
VIM-123,Vogo,75.9119235,71.32039218,28.99342151,77.34821934,122,Delhi,28-Jan-20,12-Dec-19,6-Nov-43
VIM-124,Campus Share,77.04937848,76.7531582,28.72236147,77.36589854,123,Delhi,22-Dec-19,22-Jan-20,15-Sep-41
VIM-125,Napino-Bajaj,70.28945462,77.63095776,29.03587072,77.49701079,124,Delhi,14-Dec-19,1-Feb-20,29-Jan-43
VIM-126,Kerala Automotive Limited,77.8532666,50.68483908,28.84140534,77.17109585,125,Delhi,22-Dec-19,12-Jan-20,28-Oct-44
VIM-127,Qquick,71.28227001,90.78420812,28.54105826,77.00134127,126,Delhi,16-Dec-19,13-Jan-20,8-Feb-42
VIM-128,Campus Share,75.33226165,87.49248759,28.68201829,76.76348332,127,Delhi,29-Sep-19,19-Jan-20,24-Jan-44
VIM-129,Napino-Hero,73.31955232,22.64620294,28.54273267,77.41328918,128,Delhi,13-Aug-19,17-Jan-20,18-Nov-40
VIM-130,Campus Share,81.7827103,4.905617896,28.71703884,77.35838081,129,Delhi,24-Dec-19,7-Dec-19,2-Feb-41
VIM-131,Evy Mobility,78.78502008,71.527795,28.64805277,77.0019527,130,Delhi,4-Sep-19,28-Dec-19,4-Dec-44
VIM-132,Bounce Share,81.28380755,83.06744729,28.91224932,77.13331229,131,Delhi,5-Sep-19,15-Jan-20,3-Sep-42
VIM-133,Evy Mobility,70.99909352,27.77955798,29.00970136,76.79433086,132,Delhi,24-Aug-19,28-Jan-20,21-May-44
VIM-134,Napino-Hero,76.58612226,29.70788326,28.8497551,76.8254098,133,Delhi,19-Nov-19,2-Jan-20,28-Dec-42
VIM-135,Evy Mobility,71.93642882,31.77034783,28.97138542,76.97822759,134,Delhi,9-Oct-19,3-Jan-20,31-Mar-44
VIM-136,Q.Te Bikes,77.53848678,66.29598066,28.68504328,77.29268574,135,Delhi,23-Aug-19,1-Dec-19,1-Dec-42
VIM-137,Vecmocon Technologies,78.99287662,35.84816411,28.73921293,77.11834871,136,Delhi,18-Aug-19,15-Jan-20,10-Jul-43
VIM-138,Campus Share,75.88375078,12.69537767,28.75380497,77.00227413,137,Delhi,7-Jan-20,1-Jan-20,14-Jan-43
VIM-139,Napino-Hero,77.51543577,62.49115301,28.77934056,76.98375379,138,Delhi,12-Oct-19,20-Jan-20,4-Apr-41
VIM-140,Vecmocon Technologies,75.51193058,26.75395739,28.5422942,77.13133336,139,Delhi,7-Nov-19,17-Jan-20,4-Dec-43
VIM-141,Campus Share,70.47885011,81.00728354,28.50841089,76.93925614,140,Delhi,8-Sep-19,15-Jan-20,4-Dec-44
VIM-142,Vogo,71.10719039,29.74621354,28.58374772,77.02341473,141,Delhi,9-Aug-19,13-Jan-20,18-Mar-44
VIM-143,Qquick,80.20054755,0.55069304,28.54068696,77.50075356,142,Delhi,9-Dec-19,23-Jan-20,12-Jan-45
VIM-144,Evy Mobility,75.71283065,60.93654854,28.441796,76.92063955,143,Delhi,21-Sep-19,20-Dec-19,25-Feb-42
VIM-145,Q.Te Bikes,70.27474561,71.30165872,28.71656552,76.93764334,144,Delhi,18-Nov-19,9-Jan-20,8-Dec-41
VIM-146,Napino-Bajaj,73.41182783,58.82685018,28.38669329,77.18001554,145,Delhi,7-Nov-19,14-Jan-20,7-Nov-44
VIM-147,Vogo,79.55179975,8.121924963,29.08784395,77.40867904,146,Delhi,26-Oct-19,1-Dec-19,4-Nov-40
VIM-148,Vogo,81.92539308,86.60223349,28.90650618,76.89774282,147,Delhi,1-Oct-19,1-Feb-20,18-Sep-43
VIM-149,Vogo,76.03548871,55.64873634,28.69929761,77.16384331,148,Delhi,16-Dec-19,26-Dec-19,17-Aug-43
VIM-150,Napino-Hero,70.01243948,44.32635349,28.71821721,77.1157849,149,Delhi,1-Oct-19,23-Dec-19,20-May-42
VIM-151,Bounce Share,81.01206733,23.9759032,29.08129051,76.8964554,150,Delhi,31-Jan-20,24-Jan-20,23-Oct-44
VIM-152,Evy Mobility,72.6069144,39.01865307,28.9741551,76.85842861,151,Delhi,27-Sep-19,31-Dec-19,23-Jul-44
VIM-153,Napino-Hero,71.70924804,96.85256882,28.35728276,77.11327804,152,Delhi,28-Aug-19,17-Jan-20,12-Apr-42
VIM-154,Qquick,69.86774201,56.85671996,29.0780657,77.15997262,153,Delhi,28-Dec-19,27-Dec-19,13-Apr-44
VIM-155,Campus Share,73.20286836,95.92494713,28.57168789,76.72693584,154,Delhi,31-Oct-19,7-Jan-20,29-Aug-40
VIM-156,Qquick,73.4115325,62.86923791,28.99571177,76.81016576,155,Delhi,9-Sep-19,8-Dec-19,25-Oct-41
VIM-157,Qquick,77.89344933,42.89714262,28.41170501,76.88900815,156,Delhi,27-Dec-19,7-Dec-19,7-Jul-42
VIM-158,Vecmocon Technologies,71.82642876,45.26194465,28.8891793,77.02520226,157,Delhi,18-Sep-19,10-Jan-20,29-Apr-44
VIM-159,Qquick,71.2688154,3.149613608,28.63385673,76.85941031,158,Delhi,16-Dec-19,21-Dec-19,19-Aug-42
VIM-160,Qquick,70.09032292,14.32444756,29.05436639,76.98649173,159,Delhi,5-Jan-20,25-Jan-20,3-Mar-42
VIM-161,Evy Mobility,77.70242975,69.64236393,28.56529666,77.29892634,160,Delhi,25-Aug-19,19-Dec-19,9-May-43
VIM-162,Q.Te Bikes,75.4991863,1.410573983,28.88088823,77.48825735,161,Delhi,25-Sep-19,30-Jan-20,10-Nov-41
VIM-163,Qquick,81.14998434,42.15400429,28.51016615,77.29895617,162,Delhi,23-Dec-19,1-Dec-19,15-May-42
VIM-164,Q.Te Bikes,74.01844034,3.176792788,28.44194771,76.88783458,163,Delhi,6-Dec-19,4-Dec-19,14-Feb-44
VIM-165,Napino-Bajaj,78.96479814,59.26936154,29.00973328,77.41493225,164,Delhi,6-Oct-19,28-Jan-20,3-Jan-43
VIM-166,Vecmocon Technologies,76.94279292,64.909527,29.0270597,76.99876509,165,Delhi,15-Dec-19,12-Jan-20,30-Jun-43
VIM-167,Napino-Hero,76.09035126,52.96954441,28.51434506,77.06038192,166,Delhi,4-Oct-19,8-Jan-20,2-Feb-44
VIM-168,Napino-Bajaj,75.24574956,69.04304042,28.39613929,76.98617763,167,Delhi,2-Jan-20,31-Dec-19,23-Aug-43
VIM-169,Vogo,80.83157603,54.95507184,28.81792942,77.01565161,168,Delhi,4-Dec-19,24-Dec-19,12-Feb-42
VIM-170,Vecmocon Technologies,70.06912092,67.88757163,28.88837718,76.83752399,169,Delhi,8-Nov-19,26-Dec-19,13-Feb-44
VIM-171,Qquick,75.7769054,80.79716367,28.69015961,77.10667939,170,Delhi,10-Dec-19,27-Jan-20,17-Oct-43
VIM-172,Evy Mobility,78.93050853,31.75668259,28.46583304,77.40784481,171,Delhi,12-Oct-19,15-Dec-19,9-May-42
VIM-173,Campus Share,80.38037754,90.45111821,28.89964908,76.87493425,172,Delhi,14-Dec-19,16-Jan-20,12-Dec-43
VIM-174,Campus Share,70.68007992,23.52463767,28.67747795,76.85155884,173,Delhi,2-Sep-19,21-Jan-20,11-Oct-43
VIM-175,Napino-Hero,71.33075052,9.041567748,28.34728696,77.15317046,174,Delhi,15-Dec-19,1-Jan-20,22-Sep-42
VIM-176,Vecmocon Technologies,81.19881994,27.15550752,28.39138892,77.25691804,175,Delhi,11-Dec-19,1-Dec-19,10-Aug-42
VIM-177,Kerala Automotive Limited,70.16416191,29.85764747,28.60040321,76.98226542,176,Delhi,20-Nov-19,12-Dec-19,10-Sep-44
VIM-178,Bounce Share,80.13049423,95.97405315,28.87856697,76.88351473,177,Delhi,31-Aug-19,22-Jan-20,23-Aug-43
VIM-179,Vecmocon Technologies,80.5676367,86.39586049,28.35594833,77.1866399,178,Delhi,30-Oct-19,22-Jan-20,28-Aug-41
VIM-180,Vecmocon Technologies,77.68674966,47.82821499,28.44665187,77.35379645,179,Delhi,9-Dec-19,4-Dec-19,23-Dec-44
VIM-181,Vogo,69.34955241,87.1585178,28.93822478,77.08407504,180,Delhi,7-Sep-19,22-Jan-20,13-Mar-42
VIM-182,Bounce Share,75.73286213,6.98359979,28.42127146,76.92964071,181,Delhi,2-Oct-19,16-Dec-19,25-May-44
VIM-183,Kerala Automotive Limited,77.48452062,70.79011322,28.34483941,77.37157044,182,Delhi,24-Dec-19,12-Jan-20,27-Apr-42
VIM-184,Q.Te Bikes,72.27533731,81.98871462,28.35782861,76.83255419,183,Delhi,23-Aug-19,31-Dec-19,29-Sep-40
VIM-185,Campus Share,77.34252967,43.42308002,28.88043642,77.27075717,184,Delhi,15-Nov-19,16-Dec-19,18-Dec-44
VIM-186,Bounce Share,72.97657572,74.37324571,28.47394561,77.49208022,185,Delhi,18-Sep-19,22-Jan-20,3-Jun-44
VIM-187,Vecmocon Technologies,71.39699755,16.22867943,29.02772437,76.78946651,186,Delhi,24-Dec-19,29-Jan-20,26-Jul-43
VIM-188,Bounce Share,77.78604369,15.07477816,28.39257329,77.31053781,187,Delhi,10-Oct-19,13-Jan-20,1-Nov-43
VIM-189,Bounce Share,76.7285386,61.02385736,28.98952905,77.11522978,188,Delhi,4-Dec-19,23-Dec-19,8-Sep-44
VIM-190,Napino-Bajaj,71.98855875,30.58608332,28.85656524,77.00602167,189,Delhi,25-Aug-19,23-Dec-19,19-Sep-42
VIM-191,Kerala Automotive Limited,69.35004963,59.57859496,28.51250768,77.40651407,190,Delhi,13-Jan-20,30-Dec-19,30-Jan-41
VIM-192,Napino-Bajaj,71.54993097,41.39476656,28.74933321,76.82999555,191,Delhi,2-Oct-19,22-Dec-19,16-Dec-41
VIM-193,Evy Mobility,79.17917146,61.70628891,28.42796912,77.02207545,192,Delhi,24-Jan-20,13-Dec-19,7-Nov-42
VIM-194,Vecmocon Technologies,70.58171706,53.53246455,29.06828298,77.29495562,193,Delhi,13-Nov-19,4-Jan-20,12-Mar-41
VIM-195,Vecmocon Technologies,70.01651302,18.03219613,29.08440931,76.72691174,194,Delhi,30-Jan-20,4-Dec-19,2-Feb-44
VIM-196,Napino-Hero,74.61232987,75.52067764,29.06581215,76.82396199,195,Delhi,21-Aug-19,17-Dec-19,13-Apr-42
VIM-197,Vecmocon Technologies,78.47013684,95.17751059,28.47880945,77.12764971,196,Delhi,11-Sep-19,6-Jan-20,28-Nov-42
VIM-198,Qquick,74.73644693,12.64792483,28.98255424,76.85585206,197,Delhi,10-Dec-19,9-Dec-19,11-Sep-42
VIM-199,Campus Share,81.49051165,27.43523043,28.35411791,76.95118529,198,Delhi,7-Aug-19,11-Dec-19,16-Aug-42
VIM-200,Qquick,79.10841887,39.65340187,28.63145457,76.95560344,199,Delhi,16-Aug-19,8-Dec-19,5-Dec-43
VIM-201,Q.Te Bikes,79.56291349,25.03703829,28.95444789,77.24523959,200,Delhi,9-Dec-19,6-Dec-19,17-Sep-41
